Sorter0,,
ArrayLength,Runtime,
149,5.1957998948637396E-5,
151,5.35830004082527E-5,
153,5.4459000239148736E-5,
155,5.658300142385997E-5,
157,5.824999971082434E-5,
159,5.958399924566038E-5,
161,6.054199911886826E-5,
163,6.166600360302255E-5,
165,6.312500045169145E-5,
167,6.516699795611203E-5,
169,6.616699829464778E-5,
171,6.795799708925188E-5,
173,6.983299681451172E-5,
175,7.145899871829897E-5,
177,7.245899905683473E-5,
179,7.391600229311734E-5,
181,7.570799789391458E-5,
183,7.804099732311442E-5,
185,7.824999920558184E-5,
187,8.037500083446503E-5,
189,8.187499770428985E-5,
191,8.399999933317304E-5,
193,1.6820800374262035E-4,
195,3.227909910492599E-4,
197,8.949999755714089E-5,
199,9.074999979929999E-5,
201,9.212500299327075E-5,
203,9.454099927097559E-5,
205,9.604100341675803E-5,
207,9.808399772737175E-5,
209,1.0108399874297902E-4,
211,1.0270799975842237E-4,
213,1.0312499944120646E-4,
215,1.0504200326977298E-4,
217,1.0712500079534948E-4,
219,1.1804200039478019E-4,
221,1.0883300274144858E-4,
223,1.1379199713701382E-4,
225,1.1504199937917292E-4,
227,1.1691600229823962E-4,
229,1.1908399756066501E-4,
231,1.2033300299663097E-4,
233,1.2208300177007914E-4,
235,1.2420899292919785E-4,
237,1.2683299428317696E-4,
239,1.290829968638718E-4,
241,1.340000017080456E-4,
243,1.3395800488069654E-4,
245,1.4933300553821027E-4,
247,1.3800000306218863E-4,
249,1.4025000564288348E-4,
251,1.414580037817359E-4,
253,1.4466600259765983E-4,
255,1.4637499407399446E-4,
257,1.4925000141374767E-4,
259,1.5054199320729822E-4,
261,1.5287499991245568E-4,
263,1.6204100393224508E-4,
265,7.444170187227428E-4,
267,7.512909942306578E-4,
269,7.626250153407454E-4,
271,7.757500279694796E-4,
273,8.045000140555203E-4,
275,8.036249782890081E-4,
277,8.650000090710819E-4,
279,8.310410194098949E-4,
281,8.42624984215945E-4,
283,8.72667005751282E-4,
285,8.854169864207506E-4,
287,4.5917000534245744E-5,
289,4.433399953995831E-5,
291,4.462500146473758E-5,
293,4.6041001041885465E-5,
295,4.4874999730382115E-5,
297,4.741600059787743E-5,
299,4.68340003862977E-5,
301,4.6958000893937424E-5,
303,4.787500074598938E-5,
305,4.783300028066151E-5,
307,4.9791000492405146E-5,
309,4.9458001740276814E-5,
311,4.8999998398358E-5,
313,5.01670001540333E-5,
315,5.162500019650906E-5,
317,5.129200144438073E-5,
319,5.1416998758213595E-5,
321,5.2583000069716945E-5,
323,5.3625000873580575E-5,
325,5.374999818741344E-5,
327,5.458300074678846E-5,
329,5.3416999435285106E-5,
331,5.6125001719919965E-5,
333,5.6417000450892374E-5,
335,5.650000093737617E-5,
337,5.7249999372288585E-5,
339,5.820799924549647E-5,
341,5.887500083190389E-5,
343,7.733399979770184E-5,
345,6.129199755378067E-5,
347,6.0791000578319654E-5,
349,6.195800233399495E-5,
351,6.199999916134402E-5,
353,6.274999759625643E-5,
355,6.329199823085219E-5,
357,6.312500045169145E-5,
359,6.445799954235554E-5,
361,6.54579998808913E-5,
363,6.49170033284463E-5,
365,6.649999704677612E-5,
367,6.612500146729872E-5,
369,6.687499990221113E-5,
371,6.82500030961819E-5,
373,6.758300150977448E-5,
