Sorter0,,Sorter1,,
ArrayLength,Runtime,ArrayLength,Runtime,
7051,0.0191638320684433,7051,7.333000212383922E-6,
7101,0.01928558386862278,7101,7.95800042396877E-6,
7151,0.01984870806336403,7151,8.082999556791037E-6,
7201,0.01993662491440773,7201,8.459000127913896E-6,
7251,0.020548123866319656,7251,9.583000064594671E-6,
7301,0.022948667407035828,7301,8.332999641424976E-6,
7351,0.020452333614230156,7351,7.749999895168003E-6,
7401,0.021026168018579483,7401,7.70800033933483E-6,
7451,0.021222375333309174,7451,7.58399983169511E-6,
7501,0.02163125015795231,7501,7.333000212383922E-6,
7551,0.022264331579208374,7551,7.624999852851033E-6,
7601,0.022090792655944824,7601,8.37500010675285E-6,
7651,0.02283070795238018,7651,8.750000233703759E-6,
7701,0.023066500201821327,7701,1.1250000170548446E-5,
7751,0.023219749331474304,7751,9.04199987417087E-6,
7801,0.026004334911704063,7801,9.250000402971637E-6,
7851,0.02379624918103218,7851,8.041000000957865E-6,
7901,0.02420208416879177,7901,8.166999577952083E-6,
7951,0.02436429262161255,7951,8.291999620269053E-6,
8001,0.02781466580927372,8001,8.832999810692854E-6,
8051,0.025138791650533676,8051,9.291999958804809E-6,
8101,0.025309624150395393,8101,9.04199987417087E-6,
8151,0.025393832474946976,8151,9.250000402971637E-6,
8201,0.02556404285132885,8201,9.417000001121778E-6,
8251,0.026525791734457016,8251,9.000000318337698E-6,
8301,0.026665667071938515,8301,8.582999726058915E-6,
8351,0.02704966813325882,8351,8.707999768375885E-6,
8401,0.02680862322449684,8401,8.709000212547835E-6,
8451,0.027843331918120384,8451,9.542000043438748E-6,
8501,0.028322292491793633,8501,1.0208999810856767E-5,
8551,0.028539499267935753,8551,1.0083999768539798E-5,
8601,0.029009876772761345,8601,1.0167000255023595E-5,
8651,0.028885958716273308,8651,8.957999853009824E-6,
8701,0.030682332813739777,8701,9.209000381815713E-6,
8751,0.029782500118017197,8751,9.458000022277702E-6,
8801,0.030428791418671608,8801,9.958999726222828E-6,
8851,0.030451083555817604,8851,1.0167000255023595E-5,
8901,0.03143083304166794,8901,1.0458000360813458E-5,
8951,0.03139675036072731,8951,1.0458000360813458E-5,
9001,0.0316445417702198,9001,9.874999705061782E-6,
9051,0.0320824570953846,9051,9.792000128072686E-6,
9101,0.032515957951545715,9101,1.037499987432966E-5,
9151,0.03291837498545647,9151,1.0333000318496488E-5,
9201,0.03325774893164635,9201,1.0667000424291473E-5,
9251,0.03294966742396355,9251,1.0458000360813458E-5,
9301,0.03359699994325638,9301,1.0208000276179519E-5,
9351,0.03428399935364723,9351,1.0124999789695721E-5,
9401,0.0348532497882843,9401,1.0458999895490706E-5,
9451,0.034979041665792465,9451,1.0124999789695721E-5,
9501,0.03567308560013771,9501,1.1084000107075553E-5,
9551,0.035823460668325424,9551,1.1084000107075553E-5,
9601,0.036486998200416565,9601,1.1209000149392523E-5,
9651,0.03655533120036125,9651,1.1000000085914508E-5,
9701,0.03722608461976051,9701,1.1000000085914508E-5,
