Sorter0,,
ArrayLength,Runtime F,Runtime C
751,3.30E-04,
753,3.29E-04,
755,3.18E-04,
757,3.35E-04,
759,3.45E-04,
761,3.36E-04,
763,3.60E-04,
765,3.64E-04,
767,3.47E-04,
769,3.51E-04,
771,3.66E-04,
773,3.66E-04,
775,3.58E-04,
777,3.77E-04,
779,3.58E-04,
781,3.78E-04,
783,3.72E-04,
785,3.68E-04,
787,3.73E-04,
789,3.84E-04,
791,3.74E-04,
793,3.89E-04,
795,3.78E-04,
797,3.76E-04,
799,3.88E-04,
801,3.88E-04,
803,3.89E-04,
805,4.04E-04,
807,3.99E-04,
809,3.90E-04,
811,4.03E-04,
813,4.04E-04,
815,4.03E-04,
817,3.92E-04,
819,3.96E-04,
821,4.04E-04,
823,4.01E-04,
825,4.24E-04,
827,3.98E-04,
829,3.92E-04,
831,4.03E-04,
833,4.13E-04,
835,3.93E-04,
837,4.09E-04,
839,4.15E-04,
841,4.12E-04,
843,4.30E-04,
845,4.41E-04,
847,4.36E-04,
849,4.38E-04,
851,4.35E-04,
853,4.51E-04,
855,4.43E-04,
857,4.52E-04,
859,4.56E-04,
861,4.46E-04,
863,4.68E-04,
865,4.48E-04,
867,4.61E-04,
869,4.44E-04,
871,4.55E-04,
873,4.55E-04,
875,4.62E-04,
877,4.59E-04,
879,4.80E-04,
881,4.76E-04,
883,4.76E-04,
885,4.80E-04,
887,4.79E-04,
889,4.80E-04,
891,4.75E-04,
893,4.74E-04,
895,4.77E-04,
897,4.87E-04,
899,4.78E-04,
901,5.04E-04,
903,5.00E-04,
905,4.99E-04,
907,4.93E-04,
909,5.12E-04,
911,5.15E-04,
913,5.05E-04,
915,5.00E-04,
917,4.96E-04,
919,5.14E-04,
921,5.18E-04,
923,4.99E-04,
925,5.00E-04,
927,5.27E-04,
929,5.12E-04,
931,5.24E-04,
933,5.06E-04,
935,5.22E-04,
937,5.56E-04,
939,5.34E-04,
941,5.09E-04,
943,5.14E-04,
945,5.36E-04,
947,5.54E-04,
949,5.56E-04,
951,5.49E-04,
953,5.48E-04,
955,5.54E-04,
957,5.53E-04,
959,5.72E-04,
961,5.60E-04,
963,5.77E-04,
965,5.57E-04,
967,5.68E-04,
969,5.72E-04,
971,5.80E-04,
973,5.59E-04,
975,5.55E-04,
977,5.89E-04,
979,6.08E-04,
981,5.89E-04,
983,5.84E-04,
985,5.81E-04,
987,0.001119625,
989,5.80E-04,
991,5.94E-04,
993,6.07E-04,
995,5.80E-04,
997,5.81E-04,
999,5.91E-04,
1001,6.38E-04,
1003,6.49E-04,
1005,6.25E-04,
1007,6.42E-04,
1009,6.44E-04,
1011,6.17E-04,
1013,6.15E-04,
1015,6.09E-04,
1017,6.28E-04,
1019,6.61E-04,
1021,6.33E-04,
1023,6.60E-04,
1025,6.36E-04,
1027,6.50E-04,
1029,5.92E-04,
1031,6.26E-04,
1033,6.39E-04,
1035,6.22E-04,
1037,6.57E-04,
1039,6.54E-04,
1041,6.48E-04,
1043,6.82E-04,
1045,6.91E-04,
1047,6.93E-04,
1049,6.87E-04,
1051,6.58E-04,
1053,6.75E-04,
1055,6.73E-04,
1057,6.84E-04,
1059,6.60E-04,
1061,6.76E-04,
1063,6.95E-04,
1065,6.89E-04,
1067,6.61E-04,
1069,6.92E-04,
1071,7.00E-04,
1073,7.13E-04,
1075,7.15E-04,
1077,6.91E-04,
1079,7.10E-04,
1081,7.12E-04,
1083,7.32E-04,
1085,7.10E-04,
1087,6.96E-04,
1089,7.27E-04,
1091,6.91E-04,
1093,7.19E-04,
1095,7.28E-04,
1097,7.24E-04,
1099,7.21E-04,
1101,7.43E-04,
1103,7.69E-04,
1105,7.48E-04,
1107,7.09E-04,
1109,7.65E-04,
1111,7.67E-04,
1113,7.64E-04,
1115,7.61E-04,
1117,7.50E-04,
1119,7.22E-04,
1121,7.56E-04,
1123,7.70E-04,
1125,0.001058542,
1127,7.29E-04,
1129,7.42E-04,
1131,7.50E-04,
1133,7.80E-04,
1135,7.80E-04,
1137,7.63E-04,
1139,7.76E-04,
1141,7.74E-04,
1143,7.98E-04,
1145,7.95E-04,
1147,7.80E-04,
1149,7.70E-04,
1151,7.87E-04,
